2 Fast 2 Furious,2 Fast 2 Furious.jpg,2003,PG-13,107,FALSE,FALSE,FALSE,FALSE,5.9,239489,1,John Singleton,FALSE,TRUE,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,Cars!
A Beautiful Mind,A Beautiful Mind.jpg,2001,PG-13,135,TRUE,TRUE,FALSE,TRUE,8.2,800618,8,Ron Howard,FALSE,TRUE,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Math!
Aeon Flux,Aeon Flux.jpg,2005,PG-13,93,FALSE,FALSE,FALSE,FALSE,5.4,120982,129,Karyn Kusama,FALSE,TRUE,"Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is sent on a mission to kill the Chairman, a whole new mystery is found.",Flux!
Casino Royale,Casino Royale.jpg,2006,PG-13,144,FALSE,FALSE,FALSE,FALSE,8,554460,257,Martin Campbell,FALSE,TRUE,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Bond!
Catch Me If You Can,Catch Me If You Can.jpg,2002,PG-13,141,FALSE,FALSE,FALSE,FALSE,8.1,760914,8,Steven Spielberg,FALSE,TRUE,"A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.",
Cold Mountain,Cold Mountain.jpg,2003,R,154,FALSE,FALSE,FALSE,TRUE,7.2,135100,8,Anthony Minghella,FALSE,TRUE,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",
Eternal Sunshine Of The Spotless Mind,Eternal Sunshine Of The Spotless Mind.jpg,2004,R,108,FALSE,FALSE,FALSE,FALSE,8.3,855851,200,Mochel Gondry,FALSE,TRUE,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",
Harry Potter And The Sorcerers Stone,Harry Potter And The Sorcerers Stone.jpg,2001,PG,152,FALSE,FALSE,FALSE,FALSE,7.6,594420,16,Chris Columbus,FALSE,TRUE,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Not Slytherin!
High Fidelity,High Fidelity.jpg,2000,R,113,FALSE,FALSE,FALSE,FALSE,7.5,161597,10,Stephen Frears,FALSE,TRUE,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",
Lost In Translation,Lost In Translation.jpg,2003,R,102,FALSE,FALSE,FALSE,FALSE,7.7,388227,8,Sofia Coppola,FALSE,TRUE,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,
Memento,Memento.jpg,2000,R,113,FALSE,FALSE,FALSE,FALSE,8.4,1064856,256,Christopher Nolan,FALSE,TRUE,A man with short-term memory loss attempts to track down his wife's murderer.,
Night At The Museum,Night At The Museum.jpg,2006,PG,108,FALSE,FALSE,FALSE,FALSE,6.4,297899,2,Shawn Levy,FALSE,TRUE,A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.,
O Brother Where Art Thou,O Brother Where Art Thou.jpg,2000,PG-13,107,FALSE,FALSE,TRUE,FALSE,7.7,271972,2,"Joel Coen, Ethan Coen",FALSE,TRUE,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",
Serenity,Serenity.jpg,2005,PG-13,119,FALSE,FALSE,FALSE,FALSE,7.8,275569,129,Joss Whedon,FALSE,TRUE,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,
Shrek 2,Shrek 2.jpg,2004,PG,93,FALSE,FALSE,FALSE,FALSE,7.2,397998,2,"Andrew Adamson, Kelly Asbury, Conrad Vernon",TRUE,TRUE,Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.,
Star Wars Episode II,Star Wars Episode II.jpg,2002,PG,142,FALSE,FALSE,FALSE,FALSE,6.5,606539,17,George Lucas,FALSE,TRUE,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",
The Chronicles Of Riddick,The Chronicles Of Riddick.jpg,2004,R,119,FALSE,FALSE,FALSE,FALSE,6.7,208187,129,David Twohy,FALSE,TRUE,"The wanted criminal Richard Bruno Riddick (Vin Diesel) arrives on a planet called Helion Prime and finds himself up against an invading empire called the Necromongers, an army that plans to convert or kill all humans in the universe.",
The Incredibles,The Incredibles.jpg,2004,PG,115,FALSE,FALSE,FALSE,FALSE,8,625960,1,Brad Bird,TRUE,TRUE,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",
The Pursuit Of Happyness,The Pursuit Of Happyness.jpg,2006,PG-13,117,FALSE,FALSE,FALSE,FALSE,8,420649,8,Gabriele Muccino,FALSE,TRUE,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,
Vanilla Sky,Vanilla Sky.jpg,2001,R,136,FALSE,FALSE,FALSE,FALSE,6.9,239260,80,Cameron Crowe,FALSE,TRUE,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.,
X-Men,X-Men.jpg,2000,PG-13,104,FALSE,FALSE,FALSE,FALSE,7.4,550824,129,Bryan Singer,FALSE,TRUE,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",
Zoolander,Zoolander.jpg,2001,PG-13,90,FALSE,FALSE,FALSE,FALSE,6.5,237437,2,Ben Stiller,FALSE,TRUE,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",